age,monthly_salary,monthly_expenses,current_savings,dependents,risk_tolerance,expected_return,inflation_rate,retirement_goal_age,goal_type,target_corpus,risk_label
55,172619,119951,3867320,1,Medium,8.293240464294568,6.577135654870258,65,Normal,68040197.90704681,Medium
59,98926,77313,4555129,0,Low,12.035475583539917,5.163360652815233,70,Normal,40353647.726721406,Low
55,257121,22824,3406351,1,High,7.481432525046457,6.367413430936827,70,Normal,17283909.785973452,Medium
43,36456,25923,2437824,1,Low,11.078856463212269,7.022977132069196,51,Aggressive,13385134.43975071,Low
46,230290,155199,4078331,1,High,9.142501225542073,7.3376326902867435,58,Normal,108901616.59378883,Medium
28,198380,139152,3059943,4,High,10.345424285825057,5.57506869317147,57,Aggressive,201321665.68868172,Medium
42,220482,75163,3722000,1,Medium,13.835716711919254,6.987928468853398,69,Aggressive,139689699.97221276,Medium
38,68277,29002,1426755,2,High,8.263489985706833,7.327482631798116,55,Normal,28949111.269357197,Medium
37,23978,14464,4023709,3,Low,8.728596112709873,4.218966058984526,53,Normal,8405389.290745527,Low
41,60347,16726,2829652,2,Medium,7.2323118488314995,5.9199667128392175,54,Luxury,10598031.60009369,Low
57,134890,68645,4904377,2,High,6.6535849206875834,6.6607963666201595,64,Normal,32341779.938966826,Low
37,258835,119626,4053464,4,Low,9.463555007529987,5.838434765569546,64,Luxury,166080584.69292387,Medium
52,289304,82065,4937266,5,Medium,9.133486437419752,7.360761099671128,64,Luxury,57733276.85126286,Medium
30,83271,30788,810885,0,Low,11.70994152079836,5.798455828295527,58,Aggressive,44763490.68435529,Medium
29,156401,107653,4769090,1,Medium,6.308012345997042,6.351668543811773,70,Normal,403333240.7269157,Low
31,34364,25617,2430840,5,Low,10.768157868320802,5.210074619561544,65,Luxury,43211435.71511635,Low
43,232553,111079,4631999,3,Medium,7.860724482551018,7.7907290717020885,53,Normal,70561419.6699333,Medium
41,102462,10816,826027,4,High,11.824737256823003,6.73532059530274,58,Normal,9827128.489915341,Medium
32,110762,83571,459893,1,Medium,13.7414942318929,5.774822702794015,64,Luxury,151150868.6012509,High
59,219626,44847,303630,2,Medium,9.48981528770519,5.163843405533088,68,Luxury,21166677.83120659,High
21,120354,48184,3698191,5,Low,13.199211580774335,7.813383902940025,45,Normal,87936334.82854138,Low
33,239265,182865,2370037,2,High,13.968158960246113,4.197089619459163,55,Luxury,135542282.5965364,Medium
39,226601,11080,4519820,0,Low,9.289859362215278,5.257748321126487,55,Luxury,7546163.669490479,Medium
36,221320,21853,2177838,1,Low,13.967426681255468,7.440306440292574,55,Aggressive,25633614.525849245,Medium
25,140985,10828,2632650,0,Low,7.168202421635025,7.3410735136812555,53,Normal,23611069.69603728,Medium
26,86362,20590,2092930,5,High,10.183971500090681,5.128555987768412,68,Luxury,50471587.454733826,Low
49,43636,33444,3193633,5,Low,9.418677590900025,4.455640842031717,70,Luxury,25061630.5857682,Low
34,74184,19042,1940640,4,High,8.462541472847937,6.405814147118835,59,Aggressive,26975393.62347712,Low
52,165270,103816,3011686,3,Medium,13.65535582777106,5.495390287726052,64,Luxury,59181687.503620036,Medium
42,30898,19678,1000923,1,High,7.084668937972485,4.79906572696391,59,Normal,13097192.101021154,Low
25,119040,42539,2376545,3,Medium,13.329568913938694,7.722012098392378,56,Luxury,128040302.94092727,Medium
33,127819,87879,3240469,0,Medium,11.783822704075275,5.980028337350394,52,Luxury,79480932.8651712,Low
57,115506,32208,2668382,0,Medium,13.928368603527169,6.924657112107818,66,Aggressive,17651670.351524983,Medium
53,181220,91606,4301899,5,Low,12.159910554029082,7.7661949758743845,68,Luxury,84388527.63946159,Medium
58,293108,140819,1428486,3,Low,6.196035653528534,6.036110601576736,63,Normal,56630638.45959177,High
48,103007,46403,440171,4,Medium,10.4011172816538,5.299260633270249,63,Luxury,30202795.36947757,High
26,136611,20721,3339751,2,Low,12.62463960654888,7.68022691298602,69,Luxury,149753966.46363854,Low
30,115869,14788,3120418,2,Medium,8.059499317725002,4.422132404947648,62,Aggressive,17717096.182291005,Low
35,76500,58770,4918492,4,Medium,10.614998217559227,7.501821437143224,53,Aggressive,64827870.22590045,Low
42,57562,42700,4698971,5,Low,11.772232809907313,7.995851178154439,56,Aggressive,37605220.026241735,Low
23,79886,29082,2697168,0,Medium,9.19117813692195,7.823210763574165,58,Luxury,121807668.10525455,Low
45,253258,25755,459893,5,Medium,7.779982851426269,6.127291789240553,60,Aggressive,18853371.97767183,High
30,29433,19653,2941970,2,Low,7.476245179704782,7.821079371539215,58,Luxury,48557130.342689455,Low
45,48020,12123,4543023,4,Low,13.62809247386934,4.641300455266142,54,Normal,5470909.298315611,Low
48,279091,217848,3363357,2,High,12.920900363020694,6.578503389786732,64,Aggressive,181129300.92889085,Medium
42,119574,42105,4029521,3,Low,6.584223398197032,6.0677973248808375,69,Normal,61974178.54001771,Low
28,141472,55024,639457,0,Medium,6.779747053101737,7.732564087161046,56,Aggressive,132858489.96327353,High
60,212851,14586,788479,5,High,9.60947830779114,4.453592616244682,68,Luxury,6200754.2389773475,High
47,296776,186734,806195,4,Medium,12.302034502120936,5.633845863822176,62,Normal,127465023.32044913,High
30,81826,44133,3236163,2,Low,7.835975240837452,4.372824893021474,68,Aggressive,67329803.70085792,Low
47,239447,86892,4023370,0,Low,7.116783263700721,5.6202847248762495,68,Luxury,82185473.21775146,Medium
45,59192,40810,4137863,0,Medium,8.569043045024744,4.00104939490226,64,Aggressive,25799100.072626363,Low
52,163219,61660,4220477,4,Medium,9.251458801661851,4.036710937798841,64,Luxury,29741587.115750033,Low
37,66092,11581,4850962,1,Medium,9.257713090566288,7.416562552816686,61,Aggressive,19345382.67829396,Low
45,70617,50770,241994,1,High,6.683714025389697,7.5669519524543825,60,Aggressive,45489520.159100585,High
45,180430,74828,4143383,2,Low,12.77899424793982,7.354203650566525,55,Luxury,45643184.711706445,Medium
30,296269,221386,1937024,3,High,13.068168516923986,4.974486165847256,58,Luxury,258592913.04467234,Medium
39,230277,38136,3357051,3,Low,6.329771369155953,4.885982714894212,60,Luxury,31154650.076817725,Medium
56,111854,79685,2520620,3,Low,10.276550284463934,7.291525048043118,67,Aggressive,51846260.108005874,Medium
36,254668,148533,3423104,5,Low,6.973451754812561,7.483187308169412,46,Aggressive,91695827.22583261,Medium
28,260469,56018,2076341,2,Low,6.536676931069389,4.522314977941571,69,Normal,103043042.52942048,Medium
32,263702,87549,939746,1,Low,6.753811515506075,5.612697784736726,47,Luxury,59581919.60590231,High
49,158636,122802,4276694,2,High,12.91977230387106,7.29805606025817,68,Aggressive,140466227.13934964,Low
40,114190,76658,1459689,4,High,10.367033155793179,7.699096276053439,62,Aggressive,117582865.15850347,Medium
49,219018,154810,2769821,1,Medium,7.117680675619039,4.304713862377435,59,Luxury,70787997.28743367,Medium
33,276238,168259,1020065,4,High,11.644333929628639,7.397438380883829,55,Luxury,242641934.4347838,High
34,146133,83852,40867,0,High,8.222699388537746,7.393664472497813,51,Aggressive,84580826.97546676,High
49,293646,32943,2636385,3,Low,7.568835595670777,5.379679220443858,70,Normal,29701522.910720285,Medium
43,83631,47972,2582713,0,Medium,10.58547847390303,7.9344477681514345,64,Luxury,71527102.2097527,Low
41,208818,122177,1652034,4,Low,10.978430108303948,7.1511036191723605,47,Luxury,55474143.12108513,Medium
30,158783,57471,2694268,2,Medium,8.102080381515524,5.414953260939914,50,Normal,49501050.940506764,Medium
29,298404,144154,2699095,5,Medium,7.740023025087768,5.861300792562029,53,Normal,169684190.35913825,Medium
26,178886,87577,2468750,1,Medium,6.268337679878319,5.400861107556754,51,Luxury,97862271.93156125,Medium
33,256170,194408,4893359,1,Low,9.76817539682142,4.15613488306643,55,Normal,142857223.35533437,Medium
21,42003,23046,120468,2,High,6.010813545747282,5.659385824364081,45,Normal,25912587.27203326,High
40,219708,142330,3696700,1,Medium,12.15304666286708,5.978152815847971,50,Luxury,76309948.3503216,Medium
47,71199,40524,2576719,3,High,11.761933906162035,5.640900157691696,57,Normal,21045269.55908146,Low
47,125951,38749,3051363,2,Low,7.040856804021488,6.78918918957547,59,Luxury,25568733.8703642,Low
39,115663,57806,8722,1,Medium,12.06819011125356,6.424647219485495,57,Aggressive,53192955.29274042,High
45,264154,151373,1140991,0,Low,12.594939075524008,4.404097118836518,61,Luxury,90500367.83909456,High
42,223453,169736,4619730,4,High,8.590552598535481,7.4288927696289395,66,Normal,284316202.2736405,Medium
41,139930,88262,2757825,5,High,12.407641948792696,5.617321350174568,61,Luxury,78994707.37620695,Medium
42,266864,141266,2009473,2,Medium,11.033375717208743,6.024450238942844,56,Normal,96126540.31873731,Medium
52,142270,29789,3342669,1,High,8.562508884652168,5.349359084444366,67,Luxury,19527904.68223905,Medium
33,276607,143432,1914754,1,High,7.354580267121961,5.8188616156250905,69,Aggressive,329638837.6259556,Medium
26,170740,46498,3987929,1,Low,11.044465347916487,7.946024665145181,67,Luxury,320647832.14722836,Medium
43,59130,37352,2850557,0,High,10.990603499703129,4.482438753862238,70,Normal,36610380.58883194,Low
33,125170,97268,4347505,2,Medium,6.417649853724543,6.944700369122913,64,Aggressive,233899099.5398867,Low
39,136800,35809,3677752,2,Low,7.082188169428802,5.72996493493644,66,Aggressive,48357275.9739502,Low
46,59673,31289,146207,3,Medium,8.331438005364049,4.6635414930067665,68,Normal,25586583.90373624,High
23,282732,199590,2730338,0,Low,11.070652392587796,7.747409183342519,54,Normal,605162426.9141759,Medium
51,176956,47857,1706836,3,Low,11.695640507225242,6.011477083463306,58,Normal,21604137.122735504,Medium
41,256275,101266,4459689,3,High,6.252152245319435,6.185282508641134,50,Normal,52139138.61667616,Medium
31,143933,75403,1892941,2,High,11.880979108052475,7.042383095640173,63,Luxury,199661576.8337446,Medium
44,196948,119910,3777315,0,Low,11.411513862117836,6.8841100689918635,61,Aggressive,111557849.26853724,Medium
38,294854,207380,4037073,3,Medium,12.48217879902836,7.918044634668637,66,Aggressive,525438658.31266385,Medium
39,243646,84350,592836,2,Medium,13.319789858041755,6.709519795875783,60,Normal,98962992.20193322,High
30,163174,115640,2030858,2,Medium,10.130335822932345,7.4443706251399595,61,Aggressive,321309075.00802475,Medium
29,185122,24755,2135781,5,Medium,13.376013353664042,6.706654298523098,56,Aggressive,42850389.194695726,Medium
33,138842,80368,1575892,2,Low,13.250140999333844,7.9146900221449865,49,Normal,81563057.38761024,Medium
53,125163,45613,939876,4,Low,8.367494071789338,7.3708965740216374,65,Aggressive,32125422.414525796,Medium
29,245569,12296,2444835,1,Low,6.236666600669573,6.452780888140461,53,Normal,16544489.663319519,Medium
22,106549,35855,3630986,1,Medium,11.651979914721323,5.338678183814563,46,Aggressive,37478286.57023731,Low
47,127329,43086,432303,2,Medium,12.1574727717247,4.1393767306375135,54,Aggressive,17169681.959533695,High
57,286671,211966,1100568,3,Low,8.560957322421444,6.133886849696402,65,Aggressive,102381152.37924834,High
32,189848,126385,2574680,0,Medium,7.553198566858599,6.088430418959722,59,Aggressive,187005094.11999488,Medium
45,97339,76590,4682983,2,High,9.920160944456516,7.8198017031346545,57,Luxury,56712092.19562467,Low
44,284010,219611,1587110,5,Medium,8.781303192961323,4.709903928235878,61,Aggressive,144067919.10911703,High
28,191356,107938,4439874,3,Low,13.334259344004959,4.372303752336039,62,Aggressive,138737794.07350302,Medium
34,222685,51608,1889921,5,Medium,9.43921454056799,7.175116900616523,56,Aggressive,71105882.8715755,Medium
23,92363,22659,231976,3,High,13.216245766837567,7.7459052768068295,49,Normal,47291395.46699548,High
46,289899,158886,2614073,2,High,13.674576907735405,4.757399865149979,53,Normal,65993302.10176585,Medium
21,151811,55955,4156118,1,Low,10.768835371717598,7.298411468666812,50,Luxury,129468952.2955757,Low
23,200700,141663,4341153,2,Medium,8.582146061361327,5.82916679469742,48,Aggressive,175191129.06972763,Medium
30,220528,38041,4364123,0,Medium,9.298167092968,5.09943189990569,61,Luxury,53331598.83568798,Medium
27,194028,43490,3188704,3,High,13.487051697263931,5.879800857761148,54,Luxury,61018958.248589896,Medium
33,36154,15452,4143926,1,Low,13.599963968526929,4.421436313273637,65,Luxury,18508667.691487275,Low
35,86674,38025,2161022,3,Low,8.098804176092344,4.310010202206287,65,Normal,40454805.15911918,Low
28,75112,29868,1698841,4,Medium,11.42467309433373,5.992766273685962,66,Normal,81813319.99110581,Medium
43,57583,29050,243638,0,High,7.353339729831978,5.434422184717063,67,Normal,31034555.301703975,High
53,112149,25126,2165563,0,Medium,8.756283302023402,7.57303945710627,70,Luxury,26073725.27349004,Medium
47,256364,129556,28484,0,High,10.53862984000855,6.450855518714414,52,Luxury,53128134.42436181,High
33,187173,134515,1271426,3,Medium,12.851272627968237,7.487141726243508,66,Aggressive,437176637.2633362,Medium
60,239893,119091,2831336,2,High,6.85856383238096,7.541920873152288,66,Aggressive,55267132.64658861,Medium
21,38688,23301,4418112,1,Medium,12.357653705970574,5.510939780721051,57,Luxury,48217590.15223429,Low
22,123961,77849,4305685,0,High,12.681547196697373,4.425400093155754,45,Aggressive,63228909.89458248,Low
33,235926,122981,423031,1,Medium,9.20857049401458,6.057492268777886,56,Aggressive,142695545.78930882,High
50,182009,62652,4931746,3,Medium,11.590208634353452,4.421546297187509,55,Normal,23334945.678667013,Low
34,171364,126805,3966614,2,Medium,12.665640423549885,5.99792231972606,56,Luxury,137024867.90589947,Medium
30,275519,40131,2249288,4,Low,7.2311835354753375,7.176353330343062,68,Luxury,167634085.19950348,Medium
30,275889,189442,2932855,0,High,9.758426271253576,4.494184510117719,50,Luxury,136911505.20331773,Medium
34,112187,46814,2487015,5,Low,7.8863504068772246,6.879591491552072,53,Normal,49716199.760171175,Medium
50,273083,210509,2047144,3,Low,9.860707951909758,5.353943838380923,64,Normal,131069937.03123082,Medium
54,231351,21038,1852545,5,High,8.736460905419785,5.595087024056415,65,Luxury,11486997.917636432,Medium
49,107261,81232,36481,4,High,9.816571743349122,5.802646030502059,54,Luxury,32309560.210905313,High
58,188004,70057,3850174,1,Low,11.862445357231769,5.384255205140639,67,Luxury,33694139.17572354,Medium
41,287622,162312,678986,1,Medium,10.47948245652699,5.571200236955881,60,Aggressive,136406669.75841674,High
24,69632,53262,383679,5,Low,9.701425316922567,6.367880518406689,52,Luxury,89998004.82939595,High
39,98151,52888,54198,5,High,6.495004385932052,4.76286068853755,61,Luxury,44161119.53118292,High
